method,seed,users,precision,recall,ndcg,tail_share,diversity,mean_popularity,mean_genre_count,recommendation_count,coverage,unique_recommended_movies
jaccard_single,20260925,93,0.02365591397849462,0.010481700833719174,0.026054828564065383,0.7634408602150538,0.05905899646927224,50.6817204301075,2.004301075268817,5,0.13878562577447337,224
cosine_single,20260925,93,0.02365591397849462,0.010481700833719174,0.026054828564065383,0.7634408602150538,0.05905899646927224,50.6817204301075,2.004301075268817,5,0.13878562577447337,224
cosine_profile,20260925,93,0.02150537634408602,0.007218475287021525,0.024533994181577153,0.7935483870967739,0.1728309706713228,51.935483870967744,2.772043010752688,5,0.1294919454770756,209
jaccard_single,7,93,0.019354838709677417,0.007599134705765667,0.02195334908588895,0.7999999999999996,0.05905899646927224,49.1784946236559,2.004301075268817,5,0.14002478314745972,226
cosine_single,7,93,0.019354838709677417,0.007599134705765667,0.02195334908588895,0.7999999999999996,0.05905899646927224,49.1784946236559,2.004301075268817,5,0.14002478314745972,226
cosine_profile,7,93,0.01935483870967742,0.0012590243079117183,0.01728603760507046,0.7548387096774193,0.17484912996862811,55.85161290322581,2.772043010752688,5,0.13135068153655513,212
jaccard_single,42,93,0.015053763440860214,0.002216100254842721,0.01663564874231065,0.7913978494623654,0.06761502526624702,50.307526881720435,2.004301075268817,5,0.137546468401487,222
cosine_single,42,93,0.015053763440860214,0.002216100254842721,0.01663564874231065,0.7913978494623654,0.06761502526624702,50.307526881720435,2.004301075268817,5,0.137546468401487,222
cosine_profile,42,93,0.02580645161290323,0.002353034193825463,0.025949386150882416,0.7247311827956988,0.17985492014392773,61.172043010752695,2.772043010752688,5,0.1332094175960347,215
jaccard_single,123,93,0.017204301075268817,0.002162961583474014,0.017156335734677917,0.8150537634408599,0.061747168512282985,45.640860215053756,2.004301075268817,5,0.13878562577447337,224
cosine_single,123,93,0.017204301075268817,0.002162961583474014,0.017156335734677917,0.8150537634408599,0.061747168512282985,45.640860215053756,2.004301075268817,5,0.13878562577447337,224
cosine_profile,123,93,0.03440860215053765,0.007846246047656684,0.03554408158401962,0.7376344086021501,0.1815863569100356,58.729032258064485,2.772043010752688,5,0.13444857496902107,217
jaccard_single,2026,93,0.017204301075268817,0.0018796832316800526,0.016650706642331647,0.7892473118279567,0.05457870973092097,52.91612903225804,2.004301075268817,5,0.137546468401487,222
cosine_single,2026,93,0.017204301075268817,0.0018796832316800526,0.016650706642331647,0.7892473118279567,0.05457870973092097,52.91612903225804,2.004301075268817,5,0.137546468401487,222
cosine_profile,2026,93,0.02365591397849462,0.012332485950633323,0.02955572814827707,0.7354838709677417,0.17571535106601782,59.72688172043007,2.772043010752688,5,0.13568773234200743,219
